Title,Authors,Contributors,ISBN/UID,Format,Read Status,Date Added,Last Date Read,Dates Read,Read Count,Moods,Pace,Character- or Plot-Driven?,Strong Character Development?,Loveable Characters?,Diverse Characters?,Flawed Characters?,Star Rating,Review,Content Warnings,Content Warning Description,Tags,Owned?
Harry Potter and the Order of the Phoenix,J.K. Rowling,"",9781408855690,paperback,read,2025/12/18,2003,2003-2003,1,"",,,,,,,,,"",,"",No
Inferno,Dan Brown,"",9780385538176,hardcover,read,2023/06/02,"","",1,"",,,,,,,3.0,,"",,"",No
A Walk in the Woods: Rediscovering America on the Appalachian Trail,Bill Bryson,"",9780307279460,paperback,read,2023/06/03,"","",1,"",,,,,,,4.0,,"",,"",No
The Picture of Dorian Gray,Oscar Wilde,Robert Mighall (Contributor),9780141439570,paperback,read,2023/06/02,"","",1,"",,,,,,,4.0,,"",,"",No
The End of the Peace Process: Oslo and After,Edward W. Said,"",9780375725746,paperback,read,2024/05/30,2024/05/04,2024/02/03-2024/05/04,1,"",,,,,,,,,"",,"",No
The Addiction Manifesto,"JR Weaver, Jerry Weaver","",9781638377634,paperback,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
Siddhartha,Hermann Hesse,"",9789573272687,paperback,read,2023/06/02,"","",1,"",,,,,,,4.0,,"",,"",No
The Way of Kings,Brandon Sanderson,"",9780765326355,hardcover,read,2024/06/23,2025/04/10,2025/03/24-2025/04/10,1,"adventurous, dark, emotional, inspiring, mysterious, reflective",fast,A mix,Yes,Yes,Yes,It's complicated,4.25,,"","","",No
Edgedancer,Brandon Sanderson,"",9781250166548,hardcover,read,2025/03/28,2025/05/24,2025/05/24-2025/05/24,1,"",,"","","","","",4.0,"","","","",No
Jonathan Livingston Seagull,Richard Bach,Russell Munson,9780743278904,paperback,read,2023/06/02,"","",1,"",,,,,,,4.0,,"",,"",No
Alice's Adventures in Wonderland & Through the Looking-Glass,Lewis Carroll,"John Tenniel (Illustrator), Martin Gardner (Contributor)",9780451527745,paperback,read,2023/06/05,"","",1,"",,,,,,,3.0,,"",,"",No
Homegoing,Yaa Gyasi,"",9780385686143,digital,to-read,2023/06/05,"","",0,"",,,,,,,,,"",,"",No
The Stranger,Albert Camus,Matthew Ward (Translator),9780881032475,hardcover,read,2025/11/11,2018,2018-2018,1,"",,,,,,,,,"",,"",No
The Silmarillion,J.R.R. Tolkien,Christopher Tolkien,9780618126989,paperback,read,2023/06/02,"","",1,"",,,,,,,5.0,,"",,"",No
Panenka,Rónán Hession,"",9781910422670,hardcover,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
A Bright Ray of Darkness,Ethan Hawke,"",9780385352383,hardcover,to-read,2025/11/17,"","",0,"",,,,,,,,,"",,"",No
Finite and Infinite Games,James Carse,"",9781476731711,paperback,read,2023/06/03,"","",1,"",,,,,,,3.0,,"",,"",No
Curse of the Mistwraith,Janny Wurts,"",9780586210697,paperback,to-read,2025/11/10,"","",0,"",,,,,,,,,"",,"",No
I Who Have Never Known Men,Jacqueline Harpman,"Ros Schwartz (Translator), Sophie Mackintosh (Contributor)",9781529111798,paperback,to-read,2025/03/18,"","",0,"",,,,,,,,,"",,"",No
The Eleventh Metal,Brandon Sanderson,"","",paperback,read,2025/03/25,2025/03,2025/03-2025/03,1,"",,"","","","","",3.5,"","","","",No
The Stonewall Reader,The New York Public Library,Edward White (Contributor),9780143133513,paperback,read,2023/06/02,"","",1,"",,,,,,,,,"",,"",No
The Hero of Ages,Brandon Sanderson,"",9780575089945,paperback,read,2025/03/06,2025/03/11,2025/03/06-2025/03/11,1,"adventurous, emotional, hopeful, mysterious",fast,A mix,Yes,Yes,"","",4.25,,"","","",No
So You Want to Talk About Race,Ijeoma Oluo,"",9781580056779,hardcover,to-read,2023/06/06,"","",0,"",,,,,,,,,"",,"",No
Secret History,Brandon Sanderson,"",,paperback,read,2025/03/11,2025/03/24,2025/03/11-2025/03/24,1,"adventurous, hopeful, mysterious",,"","","","","",3.75,"","","","",No
The Overstory,Richard Powers,"",9780393356687,paperback,read,2023/06/02,2023/12/25,2023/12/25,4,"",,,,,,,,,"",,"",No
Red Rising,Pierce Brown,"",9780345539786,hardcover,to-read,2025/02/24,"","",0,"",,,,,,,,,"",,"",No
The Vanishing Half,Brit Bennett,"",9780349702315,hardcover,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
Demon Copperhead,Barbara Kingsolver,"",9780571376490,digital,to-read,2023/06/02,"","",0,"",,,,,,,,,"",,"",No
